conversation_id,utterance_id,speaker,history,utterance,emotion,visual,audio,Sr No.,Season,Episode,StartTime,EndTime,image,audio_path
65,8,Phoebe,"Chandler: I have no name.
Phoebe: All right, so, what are we supposed to call you?
Chandler: Okay uh, for now, temporarily, you can call me, Clint.
Joey: No way are you cool enough to pull of Clint.
Chandler: Okay, so what name am I cool enough to pull off?
Phoebe: Umm, Gene.
Chandler: It's Clint. It's Clint!
Joey: See you later, Gene.","Bye, Gene.",neutral,"'Joey: Downturned mouth, furrowed brow, eyes looking away'","Fundamental Frequency: The fundamental frequency appears to be in a moderate to slightly high range, suggesting a generally clear and alert vocal presentation. There isn't a significant amount of pitch fluctuation, indicating a relatively stable, though not monotonous, delivery. The pitch contour seems to follow typical intonational patterns for declarative statements, with a slight rise towards the end of phrases. Overall, pitch is used to convey meaning effectively without drawing undue attention to itself.; Loudness / Energy: The loudness and energy level are consistently moderate, neither overwhelmingly loud nor excessively soft. There are subtle dynamic shifts, likely corresponding to the emphasis on certain words or the natural rhythm of speech. The overall impression is one of controlled vocal energy, suitable for normal conversation.; Speaking Rate and Pauses: The speaking rate is moderate, allowing for clear articulation. Pauses are used sparingly and seem to be primarily for natural breath intake rather than for dramatic effect or to indicate hesitation. The speech flows smoothly and rhythmically, contributing to an easy-to-follow delivery.; Voice Quality Features: The voice quality sounds generally clear and smooth, without any prominent signs of strain, hoarseness, or excessive breathiness. There might be a very slight hint of breathiness, but it's not distracting and could be a natural characteristic. The overall impression is of a healthy and well-produced voice.",623,4,18,"0:17:45,542","0:17:46,694",/kaggle/input/video-frames-v1/preprocessed_frames/test/65_8/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia65_utt8.wav
65,9,Chandler,"Chandler: I have no name.
Phoebe: All right, so, what are we supposed to call you?
Chandler: Okay uh, for now, temporarily, you can call me, Clint.
Joey: No way are you cool enough to pull of Clint.
Chandler: Okay, so what name am I cool enough to pull off?
Phoebe: Umm, Gene.
Chandler: It's Clint. It's Clint!
Joey: See you later, Gene.
Phoebe: Bye, Gene.",It's Clint!,anger,"'Chandler: Grimacing, furrowed brows, tightly closed mouth'","{ ""Fundamental Frequency: "": ""The fundamental frequency is generally stable and at a moderate to slightly high pitch, suggesting a clear and possibly assertive tone. There are no dramatic pitch shifts, indicating a consistent vocal delivery. The repetition of 'clicked' with a slight upward inflection at the end of each utterance might suggest emphasis or a question."", ""Loudness / Energy: "": ""The loudness and energy are quite high, especially during the repeated utterance of 'clicked'. This suggests a strong vocal projection and emphasis. The sudden bursts of energy on 'clicked' indicate clear points of focus and intensity within the short audio segment."", ""Speaking Rate and Pauses: "": ""The speaking rate is extremely fast, with very little pause between the words. The repetition creates a staccato effect, but the delivery is tight and rapid. The very short, almost non-existent pauses contribute to a sense of urgency or excitement."", ""Voice Quality Features: "": ""The voice quality sounds clear and sharp, with no discernible breathiness or hoarseness. The rapid and emphasized nature of the 'clicked' utterances might suggest a slightly tense or tight vocal production, but it remains articulate and well-defined."" } }",624,4,18,"00:17:47,900","00:17:50,651",/kaggle/input/video-frames-v1/preprocessed_frames/test/65_9/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia65_utt9.wav
65,10,Joey,"Chandler: I have no name.
Phoebe: All right, so, what are we supposed to call you?
Chandler: Okay uh, for now, temporarily, you can call me, Clint.
Joey: No way are you cool enough to pull of Clint.
Chandler: Okay, so what name am I cool enough to pull off?
Phoebe: Umm, Gene.
Chandler: It's Clint. It's Clint!
Joey: See you later, Gene.
Phoebe: Bye, Gene.
Chandler: It's Clint!",What's up with Gene?,surprise,"'Joey: Confused expression, furrowed brow, slightly parted lips'","Fundamental Frequency: The fundamental frequency appears to be in a moderate to slightly low range, suggesting a relatively natural or conversational pitch. There isn't a significant amount of pitch fluctuation, indicating a generally stable intonation throughout the short utterance. No dramatic pitch changes are observed, and the overall use of pitch seems straightforward and not highly expressive.; Loudness / Energy: The loudness and energy level are moderate, consistent with a casual conversational tone. The energy is fairly consistent, without sudden spikes or dips, implying a steady vocal output. There are no strong indications of emphatic stress through increased loudness. The overall vocal dynamics are subtle.; Speaking Rate and Pauses: The speaking rate is moderate to slightly fast for this very short utterance. The delivery is relatively smooth with no significant pauses within the sentence. The pacing feels direct and efficient.; Voice Quality Features: The voice quality sounds clear and relatively smooth. There are no immediate indications of breathiness, strain, or hoarseness. It suggests a healthy and unimpeded vocal production for this brief speech sample.",625,4,18,"00:17:53,572","00:17:55,364",/kaggle/input/video-frames-v1/preprocessed_frames/test/65_10/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia65_utt10.wav
66,0,Flight Attendant,,Welcome to Las Vegas.,neutral,"'Flight Attendant: Slight smile, relaxed facial muscles, attentive eyes'","{ ""Fundamental Frequency: "": ""The fundamental frequency appears to be in a moderate to slightly high range, suggesting a generally clear and articulate pitch. There are subtle fluctuations throughout, indicating natural intonation rather than a monotonous delivery. The pitch contour shows a typical pattern of rising and falling within sentences, contributing to a conversational and engaging tone. Overall, pitch is used expressively to convey meaning and emotion."", ""Loudness / Energy: "": ""The loudness and energy level are consistently moderate, indicating a confident and clear projection of the voice. There are no extreme shifts in volume, but subtle increases in energy can be perceived at the beginning of phrases, likely for emphasis. The overall vocal dynamics are well-controlled, suggesting a speaker who is aware of their vocal presence. The energy is sustained throughout, making the speech easy to follow."", ""Speaking Rate and Pauses: "": ""The speaking rate is moderate, allowing for clear enunciation of words. The delivery feels rhythmic and smooth, with well-placed, short pauses that aid comprehension and allow the listener to process information. These pauses do not disrupt the flow but rather enhance it, contributing to a natural and unhurried pace. The overall pacing is effective for conveying information clearly."", ""Voice Quality Features: "": ""The voice quality appears to be clear and smooth, without any noticeable signs of strain, hoarseness, or excessive breathiness. The vocal production seems efficient and well-supported, suggesting a healthy vocal mechanism. There are no prominent harsh or rough qualities, and the overall impression is one of clarity and natural vocal resonance."" } }",626,5,23,"00:21:50,434","00:21:52,476",/kaggle/input/video-frames-v1/preprocessed_frames/test/66_0/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia66_utt0.wav
66,1,Flight Attendant,Flight Attendant: Welcome to Las Vegas.,Thank you! Enjoy your flight?,joy,"'Flight Attendant: Slight smile with relaxed mouth, bright eyes, engaged expression'","Fundamental Frequency: The fundamental frequency appears to be within a moderate to slightly high range, suggesting a generally clear and articulate pitch. There are subtle fluctuations, indicating a natural intonation rather than a monotone delivery. The pitch contour shows some gentle rises and falls, contributing to a lively and engaging speech pattern without extreme pitch variations. Overall, the pitch is used effectively to convey meaning and emotion.; Loudness / Energy: The loudness and energy level are consistently moderate, with no sudden peaks or dips. The voice sounds clear and projected, but not overwhelmingly loud. There are slight variations in energy, likely corresponding to emphasis on certain words or phrases, which adds a natural dynamism to the speech. The overall impression is one of controlled vocal energy, suitable for clear communication.; Speaking Rate and Pauses: The speaking rate is moderate, with a clear and deliberate pace. The speaker articulates words distinctly, and there are very brief, natural pauses between phrases that aid comprehension. These pauses are not overly long and do not disrupt the flow of speech. The rhythm is smooth, contributing to an easy-to-follow delivery. The overall pacing feels balanced and well-managed.; Voice Quality Features: The voice quality sounds clear and smooth, with a noticeable lack of breathiness or strain. There are no prominent signs of hoarseness or roughness. The vocal production appears consistent and well-supported, suggesting good vocal hygiene and control. The quality is generally pleasant and easy to listen to, without any distracting vocal artifacts.",627,5,23,"00:21:53,603","00:21:55,771",/kaggle/input/video-frames-v1/preprocessed_frames/test/66_1/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia66_utt1.wav
66,2,Rachel,"Flight Attendant: Welcome to Las Vegas.
Flight Attendant: Thank you! Enjoy your flight?","Yes, I did. Thank you very much, it was excellent.",joy,"'Rachel: Slight smile, relaxed eyes, soft expression'","Fundamental Frequency: The fundamental frequency appears to be in a moderate to slightly high range, with a generally stable contour. There are no dramatic shifts, but a slight rise towards the end of the phrase 'thank you very much, excellent'. The overall impression is of a clear and controlled pitch.; Loudness / Energy: The loudness is consistent and moderate throughout the short utterance. There are no significant fluctuations in energy, suggesting a steady vocal delivery. The phrase 'excellent' has a slight increase in emphasis, contributing to a clear, though not overtly dynamic, vocal presentation.; Speaking Rate and Pauses: The speaking rate is moderate. The utterance is delivered smoothly with minimal pauses, creating a natural and efficient flow. The brief pause after 'excellent' is negligible.; Voice Quality Features: The voice quality sounds clear and smooth. There are no indications of breathiness, strain, or hoarseness. The vocal production appears well-controlled and free from noticeable irregularities.",628,5,23,"00:21:53,603","00:21:58,524",/kaggle/input/video-frames-v1/preprocessed_frames/test/66_2/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia66_utt2.wav
66,3,Flight Attendant,"Flight Attendant: Welcome to Las Vegas.
Flight Attendant: Thank you! Enjoy your flight?
Rachel: Yes, I did. Thank you very much, it was excellent.",Hope you had a nice flight.,neutral,"'Flight Attendant: Slight smile, relaxed eyes, gentle expression'","Fundamental Frequency: The fundamental frequency in this short audio clip appears to be relatively stable with a slight upward inflection towards the end, potentially indicating a question or a rising intonation. The overall pitch sounds moderate, not particularly high or low. There are no dramatic fluctuations, suggesting a controlled and consistent pitch usage.; Loudness / Energy: The loudness and energy are consistent throughout this brief utterance. The speaker sounds moderately loud, with no significant shifts in intensity. The vocal energy is sustained, and there are no pronounced changes that would suggest emphasis or a dynamic range.; Speaking Rate and Pauses: The speaking rate is moderate to slightly fast, given the short duration of the speech. There are no noticeable pauses within this segment, contributing to a smooth and continuous delivery.; Voice Quality Features: The voice quality sounds clear and smooth. There are no obvious signs of breathiness, strain, or hoarseness. The vocal production appears effortless and natural.",629,5,23,"0:21:59,735","0:22:00,867",/kaggle/input/video-frames-v1/preprocessed_frames/test/66_3/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia66_utt3.wav
66,4,Ross,"Flight Attendant: Welcome to Las Vegas.
Flight Attendant: Thank you! Enjoy your flight?
Rachel: Yes, I did. Thank you very much, it was excellent.
Flight Attendant: Hope you had a nice flight.","Ohh, it was the best!",joy,"'Ross: Neutral expression, slightly pursed lips, focused eyes'","Fundamental Frequency: The fundamental frequency of the voice is relatively low, suggesting a deeper vocal pitch. There is a slight upward inflection at the end of ""best"", indicating a question or a statement seeking confirmation. The pitch remains fairly stable throughout this short utterance.; Loudness / Energy: The loudness is moderate, with a slight increase in energy towards the end of the utterance, particularly on the word ""best"". This suggests a degree of enthusiasm or emphasis.; Speaking Rate and Pauses: The speaking rate is moderate for this very short segment. There are no significant pauses within the utterance itself. The delivery is fluid.; Voice Quality Features: The voice quality sounds clear and smooth, with no apparent signs of breathiness, strain, or hoarseness. The vocal production appears healthy and well-controlled.",630,5,23,"0:22:00,867","0:22:03,853",/kaggle/input/video-frames-v1/preprocessed_frames/test/66_4/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia66_utt4.wav
67,0,Monica,,"Oh, Larry.",neutral,"'Monica: Smiling, raised eyebrows, relaxed eyes'","Fundamental Frequency: The fundamental frequency throughout this short audio clip appears to be relatively stable and within a moderate range, suggesting a neutral to slightly low pitch. There are no drastic fluctuations or changes in pitch contour observed. The overall impression is of a steady, unmodulated vocal presentation.; Loudness / Energy: The loudness and vocal energy in this clip are consistent and moderate. The voice sounds neither particularly strong nor soft. There are no significant shifts in emphasis or intensity, indicating a relatively even distribution of vocal energy throughout the short duration. The overall vocal dynamics are subdued.; Speaking Rate and Pauses: The speaking rate is moderate, and the delivery is relatively smooth. The clip is very short, so extensive pauses are not expected, and in this instance, there are none evident. The pacing feels natural for a brief utterance.; Voice Quality Features: The voice quality appears clear and smooth. There are no immediate indications of strain, hoarseness, or breathiness. The vocal production seems effortless and well-controlled, suggesting a healthy and consistent voice quality.",631,5,7,"00:02:03,206","00:02:04,665",/kaggle/input/video-frames-v1/preprocessed_frames/test/67_0/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia67_utt0.wav
67,1,Phoebe,"Monica: Oh, Larry.","Umm, do health inspectors work on commission?",neutral,"'Phoebe: Cheerful smile, wide eyes, raised eyebrows.'","Fundamental Frequency: The fundamental frequency appears to be within a moderate to slightly lower range, suggesting a generally natural-sounding pitch for the speaker. There are minor fluctuations, but the pitch contour is relatively stable throughout the excerpt, without extreme rises or falls. The overall impression is of consistent and controlled pitch usage.; Loudness / Energy: The loudness and energy level are moderate and consistent. The voice sounds neither overly strong nor particularly soft. There are no dramatic shifts in intensity, indicating a steady delivery. The overall vocal dynamics are fairly even, with a sense of controlled energy.; Speaking Rate and Pauses: The speaking rate is moderate, with clear articulation. The speaker delivers their words at a steady pace, not too rushed or too slow. There is a brief pause around 00:01, but it is short and serves to separate the phrases effectively, contributing to a smooth and understandable flow of speech.; Voice Quality Features: The voice quality sounds clear and smooth. There are no prominent signs of breathiness, strain, or hoarseness. The vocal production appears efficient, suggesting a healthy and natural voice without noticeable roughness or tightness.",632,5,7,"00:02:05,375","00:02:07,751",/kaggle/input/video-frames-v1/preprocessed_frames/test/67_1/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia67_utt1.wav
67,2,Larry,"Monica: Oh, Larry.
Phoebe: Umm, do health inspectors work on commission?","No, bribes.",neutral,"'Larry: Slight smirk, relaxed eyes, raised eyebrows'","Fundamental Frequency: The fundamental frequency appears to be relatively stable throughout this very short utterance. Without more context or a longer speech sample, it's difficult to make definitive judgments about high/low pitch or significant pitch contour changes. The initial impression is of a moderate pitch. No strong fluctuations are immediately apparent, suggesting a fairly consistent pitch level.; Loudness / Energy: The loudness is moderate, with a consistent energy level. There are no dramatic shifts in intensity or emphasis. The voice sounds neither overly strong nor particularly soft. The overall impression is one of steady vocal projection without significant dynamic variation.; Speaking Rate and Pauses: Given the extreme brevity of the utterance ('No, bribes'), it's impossible to accurately assess the speaking rate or pause usage. The speech is delivered directly and without any internal pauses. The pacing is necessarily immediate due to the short duration.; Voice Quality Features: The voice quality sounds clear and relatively smooth. There are no immediate audible indications of breathiness, strain, hoarseness, or roughness. The articulation is distinct, suggesting a generally healthy and well-modulated vocal production for this short sample.",633,5,7,"00:02:07,961","00:02:09,378",/kaggle/input/video-frames-v1/preprocessed_frames/test/67_2/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia67_utt2.wav
67,3,Phoebe,"Monica: Oh, Larry.
Phoebe: Umm, do health inspectors work on commission?
Larry: No, bribes.",It's okay to laugh right?,joy,"'Phoebe: Bright smile, squinting eyes, cheerful demeanor'","Fundamental Frequency: The fundamental frequency (F0) throughout this short audio clip appears to be in a moderate to slightly high range, suggesting a generally clear and perhaps youthful or energetic vocal quality. There are no drastic fluctuations, indicating a relatively stable pitch contour during the spoken phrases. The overall impression of pitch usage is natural and conversational, without prominent stylistic variations.; Loudness / Energy: The loudness and energy level in this audio are moderate, with a slight increase in energy during the initial spoken phrase and a decrease towards the end. The speaker's voice sounds clear and well-projected, not overly soft or excessively loud. There are no dramatic shifts in intensity, but the dynamics are sufficient for easy comprehension in a typical listening environment. The energy seems to be used to convey a lighthearted or amused tone.; Speaking Rate and Pauses: The speaking rate is quite fast, characteristic of a short, spontaneous utterance or a quick remark. There are minimal pauses between words within the phrase, contributing to a smooth and continuous delivery. The overall pacing feels rapid and energetic, fitting the conversational and perhaps humorous context of the audio.; Voice Quality Features: The voice quality sounds clear and relatively smooth. There are no strong indications of breathiness, strain, or hoarseness. The articulation is crisp, suggesting good vocal fold closure and consistent airflow. The overall impression is of a healthy and natural voice quality, with no noticeable roughness or tension.",634,5,7,"00:02:09,587","00:02:12,673",/kaggle/input/video-frames-v1/preprocessed_frames/test/67_3/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia67_utt3.wav
68,0,Rachel,,Come on Joey!!!,anger,"'Joey: Slight frown, focused gaze, neutral mouth'","Fundamental Frequency: The fundamental frequency appears to be relatively stable throughout this short utterance, suggesting a consistent pitch. It does not exhibit extreme high or low characteristics, falling within a typical conversational range. The lack of significant fluctuations indicates a steady vocalization. Overall, the pitch is used straightforwardly without dramatic melodic contours.; Loudness / Energy: The loudness and energy are moderate and consistent. The voice sounds neither overly strong nor particularly soft. There are no significant shifts in intensity or emphasis apparent in this brief clip, suggesting a controlled and even vocal delivery.; Speaking Rate and Pauses: The speaking rate is moderate to fast, given the short duration and the number of words. The delivery is quite smooth, with no discernible pauses between the words. The pacing is direct and efficient for this short phrase.; Voice Quality Features: The voice quality sounds clear and smooth. There are no immediate indications of breathiness, strain, hoarseness, or roughness. The vocal production seems effortless and direct, contributing to a natural and unimpaired sound.",635,5,12,"00:00:02,377","00:00:03,836",/kaggle/input/video-frames-v1/preprocessed_frames/test/68_0/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia68_utt0.wav
68,1,Joey,Rachel: Come on Joey!!!,"Rach, I told you everything I knew last night!",anger,"'Rachel: Distressed, wide eyes, slightly open mouth'","Fundamental Frequency: The fundamental frequency appears to be relatively stable throughout this short audio clip, suggesting a moderate pitch. There are no dramatic upward or downward shifts, and the overall impression is of a consistent, non-exaggerated pitch range. It doesn't sound particularly high or low, but rather in a neutral to slightly lower mid-range. The stability implies a controlled vocalization.; Loudness / Energy: The loudness and energy level are consistent and moderate. The voice sounds clear and present without being overly loud or soft. There are no significant fluctuations in energy that would indicate strong emphasis on particular words or phrases. The overall impression is of a steady, even delivery with a good but not overpowering vocal projection.; Speaking Rate and Pauses: The speaking rate is moderate and feels natural for conversational speech. The delivery is relatively smooth, with no significant hesitations or overly long pauses. The flow is coherent, and the words are articulated clearly, suggesting a steady rhythm. The absence of prolonged pauses contributes to a sense of directness in the communication.; Voice Quality Features: The voice quality sounds clear and smooth, with no obvious signs of strain, hoarseness, or breathiness. The vocal production seems well-controlled, and there are no noticeable imperfections or roughness. The overall impression is of a healthy and resonant voice with a pleasant, neutral quality.",636,5,12,"00:00:04,004","00:00:06,380",/kaggle/input/video-frames-v1/preprocessed_frames/test/68_1/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia68_utt1.wav
68,2,Joey,"Rachel: Come on Joey!!!
Joey: Rach, I told you everything I knew last night!","Look, it's not that big of a deal, so Monica and Chandler are doing it.",neutral,"'Joey: Slightly confused, raised eyebrows, relaxed mouth'","Fundamental Frequency: The fundamental frequency appears to be in a moderate to slightly low range, suggesting a generally grounded and not overly high-pitched voice. There isn't significant fluctuation; the pitch seems relatively stable throughout this short segment, indicating a controlled vocal delivery. No dramatic shifts or contour changes are apparent, and overall, pitch is used in a straightforward manner without elaborate melodic variation.; Loudness / Energy: The loudness and energy level are moderate and consistent. The voice sounds neither exceptionally strong nor particularly soft. The energy remains fairly steady, with no pronounced increases or decreases that would suggest strong emphasis or a sudden drop in intensity. The overall impression is one of balanced vocal dynamics, without significant peaks or valleys.; Speaking Rate and Pauses: The speaking rate is moderate. The delivery is quite smooth and rhythmic, with words flowing together naturally. There are very brief, almost imperceptible pauses between phrases, which contribute to a steady and unhurried pacing. The speech feels well-articulated and easy to follow.; Voice Quality Features: The voice quality sounds clear and smooth. There are no prominent signs of breathiness, strain, hoarseness, or roughness. The vocal production seems effortless and free from tension, suggesting a healthy and well-supported voice. The quality is consistent throughout the segment, without noticeable irregularities.",637,5,12,"00:00:06,589","00:00:10,300",/kaggle/input/video-frames-v1/preprocessed_frames/test/68_2/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia68_utt2.wav
68,3,Rachel,"Rachel: Come on Joey!!!
Joey: Rach, I told you everything I knew last night!
Joey: Look, it's not that big of a deal, so Monica and Chandler are doing it.",I can't believe you would say that!,sadness,"'Rachel: Frustrated, wide eyes, turned-down mouth'","Fundamental Frequency: The fundamental frequency appears to be relatively stable throughout this short utterance, suggesting a consistent pitch. It seems to fall within a moderate to slightly lower-than-average range, without significant upward or downward inflections. The overall impression is of a controlled and steady pitch.; Loudness / Energy: The loudness and energy level are moderate and consistent. There are no dramatic shifts in intensity, indicating a relatively even vocal delivery. The voice sounds neither exceptionally strong nor particularly soft, contributing to a sense of calm or measured speech.; Speaking Rate and Pauses: The speaking rate is moderate to slightly fast, given the short duration and the number of words spoken. There are no discernible pauses within this snippet, suggesting a continuous flow of speech. The delivery feels direct and uninterrupted.; Voice Quality Features: The voice quality sounds clear and smooth. There are no immediate indications of strain, hoarseness, or breathiness. The articulation is distinct, and the vocal production appears effortless, suggesting a healthy and well-supported voice.",638,5,12,"00:00:10,468","00:00:13,137",/kaggle/input/video-frames-v1/preprocessed_frames/test/68_3/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia68_utt3.wav
68,4,Joey,"Rachel: Come on Joey!!!
Joey: Rach, I told you everything I knew last night!
Joey: Look, it's not that big of a deal, so Monica and Chandler are doing it.
Rachel: I can't believe you would say that!",Sorry. Monica and Chandler are making love.,neutral,"'Joey: Neutral expression, slightly raised eyebrows, relaxed mouth'","Fundamental Frequency: The fundamental frequency appears to be in a moderate to slightly low range, suggesting a generally relaxed or conversational pitch. There isn't significant fluctuation, indicating a relatively stable pitch contour, though a slight upward inflection might be present towards the end of the utterance. The overall impression is of a typical, stable voice pitch.; Loudness / Energy: The loudness and energy level are moderate and consistent throughout the short utterance. The voice sounds neither particularly strong nor soft. There are no abrupt shifts in intensity, and the vocal dynamics are quite even, suggesting a calm delivery without marked emphasis.; Speaking Rate and Pauses: The speaking rate is moderate, and the delivery is smooth without any significant pauses interrupting the flow. The words are articulated clearly and at a pace that is easy to follow. The absence of pauses contributes to a direct and continuous impression of speech.; Voice Quality Features: The voice quality sounds clear and smooth. There are no prominent signs of breathiness, strain, or hoarseness. The vocal production appears efficient, with a steady and well-supported tone. The overall impression is of a healthy and unlabored voice.",639,5,12,"00:00:13,346","00:00:17,057",/kaggle/input/video-frames-v1/preprocessed_frames/test/68_4/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia68_utt4.wav
68,5,Rachel,"Rachel: Come on Joey!!!
Joey: Rach, I told you everything I knew last night!
Joey: Look, it's not that big of a deal, so Monica and Chandler are doing it.
Rachel: I can't believe you would say that!
Joey: Sorry. Monica and Chandler are making love.",No! I mean come on! This is a,anger,"'Rachel: Pouty lips, wide eyes, slightly raised eyebrows'","Fundamental Frequency: The fundamental frequency appears to be in a moderate to slightly higher range, suggesting a generally clear and articulate, though not overtly high-pitched, voice. There are some minor fluctuations that indicate natural prosody and expressiveness rather than instability. The pitch contour shows some dynamic variation, with slight rises and falls that emphasize certain words and phrases, contributing to an engaging delivery.; Loudness / Energy: The loudness and energy level are consistently moderate to strong throughout the excerpt. The speaker's voice sounds clear and well-supported, with no significant softness or weakness. There are subtle increases in energy that align with the emphasis on key phrases like 'huge deal,' indicating good vocal control and the ability to project effectively.; Speaking Rate and Pauses: The speaking rate is moderate, with a clear and deliberate delivery. The speaker uses brief, well-placed pauses that allow for emphasis and comprehension. These pauses help to punctuate the speech and contribute to a natural, unhurried flow, making the message easy to follow.; Voice Quality Features: The voice quality is generally clear and smooth, without any noticeable signs of strain, hoarseness, or excessive breathiness. There are no prominent indications of roughness or tightness. The vocal production sounds healthy and well-managed, contributing to the overall intelligibility and pleasantness of the speech.",640,5,12,"00:00:18,184","00:00:21,854",/kaggle/input/video-frames-v1/preprocessed_frames/test/68_5/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia68_utt5.wav
68,6,Joey,"Rachel: Come on Joey!!!
Joey: Rach, I told you everything I knew last night!
Joey: Look, it's not that big of a deal, so Monica and Chandler are doing it.
Rachel: I can't believe you would say that!
Joey: Sorry. Monica and Chandler are making love.
Rachel: No! I mean come on! This is a",I don't know.,neutral,"'Joey: Displeased, furrowed brow, tightly closed eyes, downturned mouth'","{ ""Fundamental Frequency: "": ""The fundamental frequency is not clearly discernible due to the short duration and unclear utterance. It's difficult to ascertain pitch characteristics."", ""Loudness / Energy: "": ""The loudness is moderate, with a slight increase at the end, but the short duration prevents a thorough analysis of vocal energy dynamics."", ""Speaking Rate and Pauses: "": ""The utterance is extremely short and contains no discernible pauses. It's impossible to assess speaking rate or the use of pauses."", ""Voice Quality Features: "": ""The voice quality is unclear and indistinct, making it difficult to characterize. It does not present as particularly breathy, strained, hoarse, or rough, but the lack of clear speech prevents a definitive assessment."" } }",641,5,12,"00:00:25,692","00:00:27,484",/kaggle/input/video-frames-v1/preprocessed_frames/test/68_6/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia68_utt6.wav
68,7,Rachel,"Rachel: Come on Joey!!!
Joey: Rach, I told you everything I knew last night!
Joey: Look, it's not that big of a deal, so Monica and Chandler are doing it.
Rachel: I can't believe you would say that!
Joey: Sorry. Monica and Chandler are making love.
Rachel: No! I mean come on! This is a
Joey: I don't know.",Is he romantic with her?,joy,"'Joey: Confused, furrowed brow, pursed lips'","Fundamental Frequency: The fundamental frequency (F0) appears to be in a moderate to slightly high range, with no extreme fluctuations. The pitch contour is relatively stable, suggesting a conversational and natural speaking style without significant pitch variations for emphasis. Overall, the pitch use is straightforward and typical of everyday speech.; Loudness / Energy: The loudness and energy level are consistently moderate, indicating a clear and audible voice without being overpowering. There are no significant shifts in intensity, suggesting a steady delivery. The overall impression is one of balanced vocal dynamics, not overly dynamic but also not monotonous.; Speaking Rate and Pauses: The speaking rate is moderate, with a clear and rhythmic delivery. Pauses are present but brief, used effectively to segment phrases and allow for comprehension without disrupting the flow. The pacing feels natural and conducive to easy understanding.; Voice Quality Features: The voice quality sounds clear and smooth, without noticeable signs of strain, hoarseness, or breathiness. The vocal production appears effortless and well-controlled, suggesting a healthy and well-maintained voice.",642,5,12,"00:00:28,361","00:00:30,404",/kaggle/input/video-frames-v1/preprocessed_frames/test/68_7/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia68_utt7.wav
68,8,Joey,"Rachel: Come on Joey!!!
Joey: Rach, I told you everything I knew last night!
Joey: Look, it's not that big of a deal, so Monica and Chandler are doing it.
Rachel: I can't believe you would say that!
Joey: Sorry. Monica and Chandler are making love.
Rachel: No! I mean come on! This is a
Joey: I don't know.
Rachel: Is he romantic with her?",I don't know.,neutral,"'Joey: Concentrated, slightly furrowed brow, neutral mouth'","Fundamental Frequency: The fundamental frequency in this very short audio clip appears to be relatively low, suggesting a deeper vocal register. It's difficult to assess pitch stability or contour with such limited duration, but there are no immediate indications of significant pitch fluctuations.; Loudness / Energy: The loudness and energy level in this clip are moderate. There's a clear vocal presence, but no extreme variations in intensity are apparent given the brevity of the audio.; Speaking Rate and Pauses: This is an extremely short utterance, making it impossible to analyze speaking rate or the use of pauses. It's a single, isolated sound.; Voice Quality Features: The voice quality sounds clear and relatively smooth in this brief segment. There are no prominent signs of breathiness, strain, or hoarseness, suggesting a healthy vocal production for this short sample.",643,5,12,"00:00:31,031","00:00:32,698",/kaggle/input/video-frames-v1/preprocessed_frames/test/68_8/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia68_utt8.wav
